CARTRIDGE,CALIBER,G1,G7,Weight,Muzzle
10MM AUTO: Hornady 135gr MonoFlex ,0.4000,0.0000,,135,1315
10MM AUTO: Hornady 150gr FTX ,0.4000,0.0000,,150,1220
10MM AUTO: Hornady 155gr XTP ,0.4000,0.0000,,155,1410
10MM AUTO: Hornady 155gr XTP ,0.4000,0.0000,,155,1410
10MM AUTO: Hornady 175gr FlexLock ,0.4000,0.0000,,175,1160
10MM AUTO: Hornady 180gr XTP ,0.4000,0.0000,,180,1275
10MM AUTO: Hornady 200gr DGH,0.4000,0.0000,,200,1160
10MM AUTO: Remington 180gr BBJHP,0.4000,0.1770,,180,1160
10MM AUTO: Remington 180gr BJHP,0.4000,0.1770,,180,1160
10MM AUTO: Remington 180gr FMJ,0.4000,0.1800,,180,1160
10MM AUTO: Remington 200gr Hard Cast,0.4000,0.2810,,200,1200
10MM AUTO: Remington 200gr SJHP,0.4000,0.2900,,200,1110
10MM AUTO: User Data,0.4000,0.0000,,0,0
17 HMR: Hornady 15gr NTX ,0.1720,0.0000,,15,2525
17 HMR: Hornady 17 gr MAX ,0.1720,0.0000,,17 ,2550
17 HMR: Hornady 20 gr XTP ,0.1720,0.0000,,20 ,2375
17 HORNET: Hornady 20 gr V-MAX ,0.1720,0.0000,,20 ,3650
17 HORNET: User Data,0.1720,0.0000,,0,0
17 HORNET: Winchester 20gr Rapid Expansion,0.1720,0.1850,,20,3650
17 MACH 2: Hornady 17 gr V-MAX ,0.1720,0.0000,,17 ,2100
17 REM FIREBALL: Nosler 20gr VMG FB Tipped,0.1720,0.0000,,20,4000
17 REM FIREBALL: Remington 20gr AccuTip-V,0.1720,0.1850,,20,4000
17 REM FIREBALL: User Data,0.1720,0.0000,,0,0
17 REM: Nosler 20gr VMG FB Tipped,0.1720,0.0000,,20,4200
17 REM: Nosler 20gr VMG FBHP,0.1720,0.0000,,20,4200
17 REM: Remington 20gr AccuTip-V,0.1720,0.1850,,20,4250
17 REM: Remington 25gr HP,0.1720,0.1870,,25,4040
17 REM: User Data,0.1720,0.0000,,0,0
204 RUGER: Fiocchi 32gr V-MAX,0.2040,0.2100,,32,4125
204 RUGER: Fiocchi 40gr V-MAX,0.2040,0.2100,,40,3700
204 RUGER: Hornady 24 gr NTX,0.2040,0.0000,,24 ,4400
204 RUGER: Hornady 32 gr V-MAX,0.2040,0.0000,,32 ,4225
204 RUGER: Hornady 40 gr V-MAX,0.2040,0.0000,,40 ,3900
204 RUGER: Nosler 32gr BTV BTLF,0.2040,0.0000,,32,3975
204 RUGER: Nosler 32gr VMG FB Tipped,0.2040,0.0000,,32,4000
204 RUGER: Nosler 40gr BTV BT,0.2040,0.0000,,40,3625
204 RUGER: Remington 32gr AccuTip-V,0.2040,0.2100,,32,4225
204 RUGER: Remington 40gr AccuTip-V,0.2040,0.2750,,40,3900
204 RUGER: User Data,0.2040,0.0000,,0,0
204 RUGER: Winchester 32gr Rapid Expansion,0.2040,0.2100,,32,4000
218 BEE: Hornady 45 gr HP Match,0.2180,0.0000,,45 ,2750
218 BEE: Winchester 46gr HP,0.2180,0.1300,,46,2760
22 ARC: Hornady 62 gr ELD-VT ,0.2240,0.0000,,62 ,3300
22 ARC: Hornady 70 gr CX ,0.2240,0.0000,,70 ,3125
22 ARC: Hornady 75 gr ELD  Match,0.2240,0.0000,,75 ,3075
22 ARC: Hornady 80 gr ELD-X ,0.2240,0.0000,,80 ,3010
22 ARC: Hornady 88 gr ELD  Match,0.2240,0.0000,,88 ,2820
22 CREEDMOOR: Hornady 65 gr CX ,0.2240,0.0000,,65 ,3660
22 CREEDMOOR: Hornady 69 gr ELD-VT ,0.2240,0.0000,,69 ,3550
22 CREEDMOOR: Hornady 80 gr ELD  Match,0.2240,0.0000,,80 ,3285
22 CREEDMOOR: Hornady 80 gr ELD-X ,0.2240,0.0000,,80 ,3285
22 CREEDMOOR: Nosler 60gr BTV BT,0.2240,0.0000,,60,3450
22 CREEDMOOR: Nosler 70gr TGA AB,0.2240,0.0000,,70,3350
22 CREEDMOOR: Nosler 85gr MG-RDF RDF,0.2240,0.0000,,85,3175
22 CREEDMOOR: User Data,0.2240,0.0000,,0,0
22 HORNET: Hornady 35 gr V-MAX ,0.2240,0.0000,,35 ,3070
22 HORNET: Nosler 35gr VMG FB Tipped,0.2240,0.0000,,35,3000
22 HORNET: Nosler 40gr NCA BT,0.2240,0.0000,,40,2800
22 HORNET: Remington 35gr AccuTip-V,0.2240,0.1090,,35,3100
22 HORNET: Remington 45gr Pntd SP,0.2240,0.1300,,45,2690
22 HORNET: User Data,0.2240,0.0000,,0,0
22 HORNET: Winchester 35gr Rapid Expansion,0.2240,0.1090,,35,3100
22 HORNET: Winchester 45gr SP,0.2240,0.1300,,45,2690
22 HORNET: Winchester 46gr HP,0.2240,0.1300,,46,2690
22 LONG RIFLE: User Data,0.2230,0.0000,,0,0
22 LR: Remington 33gr PTCHP,0.2230,0.0950,,33,1500
22 LR: Remington 33gr PTCHP,0.2230,0.0950,,33,740
22 LR: Remington 36gr LHP,0.2230,0.1040,,36,1280
22 LR: Remington 36gr PHP,0.2230,0.1040,,36,1280
22 LR: Remington 36gr PTCS,0.2230,0.1030,,36,1410
22 LR: Remington 38gr PHP,0.2230,0.1020,,38,1345
22 LR: Remington 39gr TCBL,0.2230,0.1030,,39,770
22 LR: Remington 40gr LRN,0.2230,0.1080,,40,1080
22 LR: Remington 40gr LRN,0.2230,0.1160,,40,1255
22 LR: Remington 40gr LRN,0.2230,0.1160,,40,1150
22 LR: Remington 40gr PHP,0.2230,0.1000,,40,1255
22 LR: Remington 40gr PRN,0.2230,0.1160,,40,1255
22 LR: Remington 40gr PRN,0.2230,0.1160,,40,1255
22 NOSLER: Nosler 53gr VMG FB Tipped,0.2240,0.0000,,53,3450
22 NOSLER: Nosler 55gr BTV BT,0.2240,0.0000,,55,3500
22 NOSLER: Nosler 55gr ETA ET,0.2240,0.0000,,55,3500
22 NOSLER: Nosler 62gr VMG FBHP,0.2240,0.0000,,62,3250
22 NOSLER: Nosler 70gr MG-RDF RDF,0.2240,0.0000,,70,3000
22 NOSLER: Nosler 70gr TGA AB,0.2240,0.0000,,70,2950
22 NOSLER: Nosler 77gr MGA CC,0.2240,0.0000,,77,2950
22 NOSLER: User Data,0.2240,0.0000,,0,0
22 SHORT: Remington 27gr HP,0.2200,0.0800,,27,1105
22 SHORT: Remington 29gr RN,0.2200,0.0840,,29,1080
22 WMR: Hornady 30 gr V-MAX ,0.2240,0.0000,,30 ,2200
22 WMR: Hornady 45 gr  FTX ,0.2240,0.0000,,45 ,1000
22 WMR: User Data,0.2240,0.0000,,0,0
22-250 REM: Fiocchi 40gr V-MAX,0.2240,0.2000,,40,4100
22-250 REM: Fiocchi 55gr PSP,0.2240,0.4530,,55,3650
22-250 REM: Fiocchi 55gr V-MAX,0.2240,0.2550,,55,3650
22-250 REM: Hornady 35 gr NTX ,0.2240,0.0000,,35 ,4450
22-250 REM: Hornady 50 gr V-MAX ,0.2240,0.0000,,50 ,3800
22-250 REM: Hornady 50 gr V-MAX ,0.2240,0.0000,,50 ,4000
22-250 REM: Hornady 55 gr V-MAX ,0.2240,0.0000,,55 ,3680
22-250 REM: Nosler 35gr BTV BTLF,0.2240,0.0000,,35,4200
22-250 REM: Nosler 40gr BTV BTLF,0.2240,0.0000,,40,3950
22-250 REM: Nosler 55gr BTV BT,0.2240,0.0000,,55,3550
22-250 REM: Nosler 55gr VMG FB Tipped,0.2240,0.0000,,55,3550
22-250 REM: Remington 45gr Jacketed HP,0.2240,0.1730,,45,4000
22-250 REM: Remington 50gr Jacketed HP,0.2240,0.1920,,50,3820
22-250 REM: Remington 55gr Pntd SP,0.2240,0.1970,,55,3680
22-250 REM: User Data,0.2240,0.0000,,0,0
22-250 REM: Winchester 45gr Jacketed H. P.,0.2240,0.1850,,45,3950
22-250 REM: Winchester 55gr Ballistic Silvertip,0.2240,0.2670,,55,3680
22-250 REM: Winchester 55gr Extreme Point,0.2240,0.2460,,55,3700
22-250 REM: Winchester 55gr Jacketed H. P.,0.2240,0.2690,,55,3680
22-250 REM: Winchester 55gr Pntd SP,0.2240,0.1970,,55,3680
22-250 REM: Winchester 64gr Power-Point,0.2240,0.2510,,64,3500
220 SWIFT: Hornady 55 gr V-MAX ,0.2240,0.0000,,55 ,3680
220 SWIFT: Remington 50gr Pntd SP,0.2240,0.1750,,50,3780
220 SWIFT: Winchester 50gr Pntd SP,0.2240,0.2000,,50,3870
221 REM FIREBALL: Nosler 40gr NCA BT,0.2240,0.0000,,40,3100
221 REM FIREBALL: Nosler 40gr VMG FB Tipped,0.2240,0.0000,,40,3100
221 REM FIREBALL: Remington 50gr AccuTip-V,0.2240,0.2380,,50,2995
221 REM FIREBALL: User Data,0.2240,0.0000,,0,0
222 REM MAG: Nosler 50gr NCA BT,0.2240,0.0000,,50,3340
222 REM MAG: User Data,0.2240,0.0000,,0,0
222 REM: Fiocchi 50gr V-MAX,0.2240,0.2420,,50,3200
222 REM: Hornady 35 gr NTX ,0.2240,0.0000,,35 ,3760
222 REM: Hornady 50 gr V-MAX ,0.2240,0.0000,,50 ,3345
222 REM: Lapua 50gr Naturalis,0.2240,0.0000,,50,3166
222 REM: Lapua 55gr FMJ,0.2240,0.0000,,55,2887
222 REM: Lapua 55gr SP,0.2240,0.0000,,55,2887
222 REM: Nosler 40gr VMG FB Tipped,0.2240,0.0000,,40,3400
222 REM: Nosler 50gr NCA BT,0.2240,0.0000,,50,3100
222 REM: Nosler 50gr VMG FB Tipped,0.2240,0.0000,,50,3150
222 REM: User Data,0.2240,0.0000,,0,0
222 REM: Winchester 50gr Pntd SP,0.2240,0.1750,,50,3140
223 REM: Federal 55gr Barnes Triple-Shock,0.2240,0.2090,,55,3200
223 REM: Federal 55gr Trophy Copper,0.2240,0.3050,,55,3240
223 REM: Federal 69gr Sierra Matchking Bthp,0.2240,0.3010,0.1650,69,2950
223 REM: Federal 73gr Berger Bt Target,0.2240,0.3480,0.1780,73,2800
